agyParentName,agyAbbrev,vehType,vehCount,GGE_E85,GGE_Gas,GGE_Diesel,GGE_Biodiesel,GGE_B20,GGE_Electricity
United States Federal Government,HUD,E85,196,535,78091.94737,0,0,0,0
United States Federal Government,HUD,Gas,169,0,71691.05263,0,0,0,0
United States Federal Government,ITC,Gas,2,0,469,0,0,0,0
United States Federal Government,LOC,E85,4,0,2514,0,0,0,0
United States Federal Government,LOC,Gas,4,0,2514,0,0,0,0
United States Federal Government,LOC,Diesel,5,0,0,0,3880,0,0
United States Federal Government,NARA,Electric,1,0,0,0,0,0,6
United States Federal Government,NARA,Diesel,9,0,0,0,6801,0,0
United States Federal Government,NARA,E85,42,3096,11574.6,0,0,0,0
United States Federal Government,NARA,Gas,8,0,2794.4,0,0,0,0
United States Federal Government,NASA,Electric,347,0,0,0,0,0,8652
United States Federal Government,NASA,Gas,863,0,269553.0466,0,0,0,0
United States Federal Government,NASA,Diesel,508,0,0,0,161428,84971,0
United States Federal Government,NASA,E85,1601,318021,199873.1747,0,0,0,0
United States Federal Government,NATL GALLERY,Diesel,3,0,0,0,1283,0,0
United States Federal Government,NATL GALLERY,Gas,8,0,2986,0,0,0,0
United States Federal Government,NLRB,E85,8,66,2095.882353,0,0,0,0
United States Federal Government,NLRB,Gas,26,0,7026.117647,0,0,0,0
United States Federal Government,NRC,Diesel,3,0,0,0,1628,0,0
United States Federal Government,NRC,E85,10,103,3973.521739,0,0,0,0
United States Federal Government,NRC,Gas,13,0,5299.478261,0,0,0,0
United States Federal Government,NSF,Diesel,213,0,0,0,146922,0,0
United States Federal Government,NSF,E85,44,5980,18364.17589,0,0,0,0
United States Federal Government,NSF,Gas,307,0,161499.2527,0,0,0,0
United States Federal Government,NTSB,Gas,1,0,346.8,0,0,0,0
United States Federal Government,NTSB,E85,4,0,1387.2,0,0,0,0
United States Federal Government,OPM,E85,396,5629,155098.7273,0,0,0,0
United States Federal Government,OPM,Gas,1056,0,428607.2727,0,0,0,0
United States Federal Government,PEACE CORPS,Gas,170,0,89420.47368,0,0,0,0
United States Federal Government,PEACE CORPS,Diesel,470,0,0,0,356784,0,0
United States Federal Government,PEACE CORPS,E85,7,75,2009.526316,0,0,0,0
United States Federal Government,PSA,Gas,2,0,65,0,0,0,0
United States Federal Government,SBA,Diesel,1,0,0,0,451,0,0
United States Federal Government,SBA,E85,94,887,36033.16774,0,0,0,0
United States Federal Government,SBA,Gas,61,0,23958.83226,0,0,0,0
United States Federal Government,SI,Diesel,97,0,0,0,22582,1682,0
United States Federal Government,SI,E85,103,15252,8011.694686,0,0,0,0
United States Federal Government,SI,Electric,28,0,0,0,0,0,2
United States Federal Government,SI,Gas,231,0,44892.99762,0,0,0,0
United States Federal Government,SSA,Diesel,27,0,0,0,19415,14222,0
United States Federal Government,SSA,E85,340,43532,146174.5268,0,0,0,0
United States Federal Government,SSA,Electric,2,0,0,0,0,0,16
United States Federal Government,SSA,Gas,89,0,49658.47319,0,0,0,0
United States Federal Government,STATE,Electric,20,0,0,0,0,0,31261
United States Federal Government,STATE,Diesel,4192,0,0,0,1879264,0,0
United States Federal Government,STATE,E85,1140,11274,455261.4223,0,0,0,0
United States Federal Government,STATE,Gas,8243,0,3582693.578,0,0,0,0
United States Federal Government,TRANS,Gas,2933,0,1393663.889,0,0,0,0
United States Federal Government,TRANS,Diesel,292,0,0,0,260971,166,0
United States Federal Government,TRANS,E85,2897,199774,1192293.111,0,0,0,0
United States Federal Government,TREAS,E85,1227,65768,455201.1254,0,0,0,0
United States Federal Government,TREAS,Gas,2295,0,984183.1824,0,0,0,0
United States Federal Government,TREAS,Diesel,12,0,0,0,5040,0,0
United States Federal Government,TVA,Electric,4,0,0,0,0,0,184
United States Federal Government,TVA,Gas,1238,0,1261011.912,0,0,0,0
United States Federal Government,TVA,Diesel,115,0,0,0,332824,0,0
United States Federal Government,TVA,E85,1240,29184,1233865.088,0,0,0,0
United States Federal Government,USAID,Diesel,1,0,0,0,251,0,0
United States Federal Government,USAID,Gas,5,0,1426,0,0,0,0
United States Federal Government,VA,Diesel,1818,0,0,0,2123368,65392,0
United States Federal Government,VA,E85,8493,1444461,3103457.507,0,0,0,0
United States Federal Government,VA,Electric,123,0,0,0,0,0,1280
United States Federal Government,VA,Gas,8597,0,4879499.955,0,0,0,0
United States Federal Government,USACE,E85,3525,32700,2068715.538,0,0,0,0
United States Federal Government,USACE,Electric,11,0,0,0,0,0,592
United States Federal Government,USACE,Gas,3036,0,1707839.462,0,0,0,0
United States Federal Government,USACE,Diesel,887,0,0,0,483638,1443,0
United States Federal Government,USPS,E85,41124,394461,27078751.62,0,0,0,0
United States Federal Government,USPS,Diesel,12180,0,0,0,30614297,1543950,0
United States Federal Government,USPS,Electric,49,0,0,0,0,0,2973
United States Federal Government,USPS,Gas,154216,0,103025215.4,0,0,0,0
